11/07/2018 16.23.53	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.53	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.23.54	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.54	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.23.54	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.54	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.23.55	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.55	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.23.55	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.55	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.23.56	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.56	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.23.56	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.56	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.23.57	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.57	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.23.57	GestioneSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.23.57	Timer1 errore: Overflow di un'operazione aritmetica.
11/07/2018 16.24.08	VisualizzaDati_TabSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.24.08	VisualizzaDati_TabMisure errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.24.08	VisualizzaDati_TabAllarmi errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.24.08	VisualizzaDati_TabQAL2QAL3 errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.24.08	VisualizzaDati_TabConfigurazione errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.26.33	Linea.CaricaMisure errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.28.46	VisualizzaDati_TabSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.28.46	VisualizzaDati_TabMisure errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.28.46	VisualizzaDati_TabAllarmi errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.28.46	VisualizzaDati_TabQAL2QAL3 errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.28.46	VisualizzaDati_TabConfigurazione errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.31.36	VisualizzaDati_TabSinottico errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.31.36	VisualizzaDati_TabMisure errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.31.36	VisualizzaDati_TabAllarmi errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.31.36	VisualizzaDati_TabQAL2QAL3 errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.31.37	VisualizzaDati_TabConfigurazione errore: Riferimento a un oggetto non impostato su un'istanza di oggetto.
11/07/2018 16.33.12	VisualizzaDati_TabSinottico errore: Indice oltre i limiti della matrice.
11/07/2018 16.33.12	VisualizzaDati_TabMisure errore: Indice oltre i limiti della matrice.
11/07/2018 16.33.12	VisualizzaDati_TabAllarmi errore: Indice oltre i limiti della matrice.
11/07/2018 16.33.12	VisualizzaDati_TabQAL2QAL3 errore: Indice oltre i limiti della matrice.
11/07/2018 16.33.12	VisualizzaDati_TabConfigurazione errore: Indice oltre i limiti della matrice.
11/07/2018 16.33.12	GestioneSinottico errore: Indice oltre i limiti della matrice.
11/07/2018 16.33.13	GestioneSinottico errore: Indice oltre i limiti della matrice.
11/07/2018 16.33.13	GestioneSinottico errore: Indice oltre i limiti della matrice.
11/07/2018 16.33.13	GestioneSinottico errore: Indice oltre i limiti della matrice.
11/07/2018 16.33.14	GestioneSinottico errore: Indice oltre i limiti della matrice.
11/07/2018 16.33.14	GestioneSinottico errore: Indice oltre i limiti della matrice.
11/07/2018 16.33.15	GestioneSinottico errore: Indice oltre i limiti della matrice.
11/07/2018 16.33.15	GestioneSinottico errore: Indice oltre i limiti della matrice.
11/07/2018 16.33.16	GestioneSinottico errore: Indice oltre i limiti della matrice.
11/07/2018 16.33.16	GestioneSinottico errore: Indice oltre i limiti della matrice.
11/07/2018 16.33.17	GestioneSinottico errore: Indice oltre i limiti della matrice.
11/07/2018 16.33.17	GestioneSinottico errore: Indice oltre i limiti della matrice.
11/07/2018 16.33.18	GestioneSinottico errore: Indice oltre i limiti della matrice.
11/07/2018 16.33.18	GestioneSinottico errore: Indice oltre i limiti della matrice.
11/07/2018 16.33.19	GestioneSinottico errore: Indice oltre i limiti della matrice.
11/07/2018 16.33.19	GestioneSinottico errore: Indice oltre i limiti della matrice.
11/07/2018 16.33.20	GestioneSinottico errore: Indice oltre i limiti della matrice.
11/07/2018 16.33.20	GestioneSinottico errore: Indice oltre i limiti della matrice.
11/07/2018 16.33.21	GestioneSinottico errore: Indice oltre i limiti della matrice.
11/07/2018 16.33.21	GestioneSinottico errore: Indice oltre i limiti della matrice.
11/07/2018 16.33.22	GestioneSinottico errore: Indice oltre i limiti della matrice.
